n_features,AUC,Loss
33,0.5328296608469807,0.6737047433853149
31,0.5329857428981936,0.688400387763977
29,0.5301051535863844,0.6826303601264954
27,0.5323288884299261,0.7060259580612183
25,0.5329788158619185,0.6825672388076782
23,0.5314329179529579,0.6813803911209106
21,0.5325269739864525,0.7018746733665466
19,0.5314656647123653,0.689859926700592
17,0.5283024789961639,0.7170720100402832
15,0.5199137691468485,0.678197979927063
13,0.5122869450947781,0.6891554594039917
11,0.5087181440321689,0.690881073474884
9,0.5069491513269266,0.6870487928390503
7,0.5063850401124024,0.692221999168396
5,0.5049961751587391,0.6982787847518921
